placing,discipline,name,surname,birth_day,birth_place,birth_country,death_day,death_place,death_country,oh_type,oh_year,oh_city,oh_country
1,biatlon - šprint na 7.5 km,Anastasiya,Kuzmina,28/8/1984,Ťumeň,Sovietsky zväz,,,,ZOH,2010,Vancouver,Kanada
2,biatlon - šprint,Pavol,Hurajt,4/2/1978,Poprad,Slovensko,,,,ZOH,2010,Vancouver,Kanada
2,biatlon - stíhacie preteky na 10 km,Anastasiya,Kuzmina,28/8/1984,Ťumeň,Sovietsky zväz,,,,ZOH,2010,Vancouver,Kanada
3,biatlon - hromadný štart,Pavol,Hurajt,4/2/1978,Poprad,Slovensko,,,,ZOH,2010,Vancouver,Kanada
2,športová streľba - trap,Zuzana,Štefečeková,15/1/1984,Nitra,Slovensko,,,,LOH,2012,Londýn,Spojené Kráľovstvo
3,športová streľba - skeet,Danka,Barteková,19/10/1984,Trenčín,Slovensko,,,,LOH,2012,Londýn,Spojené Kráľovstvo
3,vodný slalom - C2,Peter,Hochschorner,7/9/1979,Bratislava,Slovensko,,,,LOH,2012,Londýn,Spojené Kráľovstvo
3,vodný slalom - C2,Pavol,Hochschorner,7/9/1979,Bratislava,Slovensko,,,,LOH,2012,Londýn,Spojené Kráľovstvo
3,vodný slalom - C1,Michal,Martikán,18/5/1979,Liptovský Mikuláš,Slovensko,,,,LOH,2012,Londýn,Spojené Kráľovstvo
1,biatlon - šprint na 7.5 km,Anastasiya,Kuzmina,28/8/1984,Ťumeň,Sovietsky zväz,,,,ZOH,2014,Soči,Rusko
1,vodný slalom - C2,Ladislav,Škantár,11/2/1983,Kežmarok,Slovensko,,,,LOH,2016,Rio de Janeiro,Brazília
1,vodný slalom - C2,Peter,Škantár,20/7/1982,Kežmarok,Slovensko,,,,LOH,2016,Rio de Janeiro,Brazília
1,atletika - chôdza na 50 km,Matej,Tóth,10/2/1983,Nitra,Slovensko,,,,LOH,2016,Rio de Janeiro,Brazília
2,vodný slalom - C1,Matej,Beňuš,2/11/1987,Bratislava,Slovensko,,,,LOH,2016,Rio de Janeiro,Brazília
2,kanoistika - K4 na 1000m,Tibor,Linka,13/2/1995,Šamorín,Slovensko,,,,LOH,2016,Rio de Janeiro,Brazília
2,kanoistika - K4 na 1000m,Denis,Myšák,30/11/1995,Bojnice,Slovensko,,,,LOH,2016,Rio de Janeiro,Brazília
2,kanoistika - K4 na 1000m,Juraj,Tarr,18/2/1979,Komárno,Slovensko,,,,LOH,2016,Rio de Janeiro,Brazília
2,kanoistika - K4 na 1000m,Erik,Vlček,29/12/1981,Komárno,Slovensko,,,,LOH,2016,Rio de Janeiro,Brazília
1,biatlon - hromadný štart,Anastasiya,Kuzmina,28/8/1984,Ťumeň,Sovietsky zväz,,,,ZOH,2018,Pjongčang,Kórea
2,biatlon - stíhacie preteky na 10 km,Anastasiya,Kuzmina,28/8/1984,Ťumeň,Sovietsky zväz,,,,ZOH,2018,Pjongčang,Kórea
2,biatlon - vytrvalostné preteky na 15 km,Anastasiya,Kuzmina,28/8/1984,Ťumeň,Sovietsky zväz,,,,ZOH,2018,Pjongčang,Kórea
1,športová streľba - trap,Zuzana,Rehák-Štefečeková,15/1/1984,Nitra,Slovensko,,,,LOH,2020,Tokio,Japonsko
2,vodný slalom - K1,Jakub,Grigar,27/4/1997,Liptovský Mikuláš,Slovensko,,,,LOH,2020,Tokio,Japonsko
2,golf,Rory,Sabbatini,2/4/1976,Durban,Južná Afrika,,,,LOH,2020,Tokio,Japonsko
3,rýchlostná kanoistika - K4,Samuel,Baláž,25/8/1998,Bratislava,Slovensko,,,,LOH,2020,Tokio,Japonsko
3,rýchlostná kanoistika - K4,Adam,Botek,5/3/1997,Komárno,Slovensko,,,,LOH,2020,Tokio,Japonsko
3,rýchlostná kanoistika - K4,Denis,Myšák,30/11/1995,Bojnice,Slovensko,,,,LOH,2020,Tokio,Japonsko
3,rýchlostná kanoistika - K4,Erik,Vlček,29/12/1981,Komárno,Slovensko,,,,LOH,2020,Tokio,Japonsko
1,zjazdové lyžovanie - slalom,Petra,Vlhová,13/6/1995,Liptovský Mikuláš,Slovensko,,,,ZOH,2022,Peking,Čína
3,ľadový hokej,Peter,Cehlárik,2/8/1995,Žilina,Slovensko,,,,ZOH,2022,Peking,Čína
3,ľadový hokej,Michal,Čajkovský,6/5/1992,Bratislava,Slovensko,,,,ZOH,2022,Peking,Čína
3,ľadový hokej,Peter,Čerešňák,26/1/1993,Trenčín,Slovensko,,,,ZOH,2022,Peking,Čína
3,ľadový hokej,Marek,Ďaloga,4/4/1989,Zvolen,Slovensko,,,,ZOH,2022,Peking,Čína
3,ľadový hokej,Marko,Daňo,30/11/1994,Eisenstadt,Rakúsko,,,,ZOH,2022,Peking,Čína
3,ľadový hokej,Martin,Gernát,11/4/1993,Košice,Slovensko,,,,ZOH,2022,Peking,Čína
3,ľadový hokej,Adrián,Holešinský,11/2/1996,Čadca,Slovensko,,,,ZOH,2022,Peking,Čína
3,ľadový hokej,Marek,Hrivík,28/8/1991,Čadca,Slovensko,,,,ZOH,2022,Peking,Čína
3,ľadový hokej,Marek,Hrivík,28/8/1991,Čadca,Slovensko,,,,ZOH,2022,Peking,Čína
3,ľadový hokej,Libor,Hudáček,7/9/1990,Levoča,Slovensko,,,,ZOH,2022,Peking,Čína
3,ľadový hokej,Tomáš,Jurčo,28/12/1992,Košice,Slovensko,,,,ZOH,2022,Peking,Čína
3,ľadový hokej,Miloš,Kelemen,6/7/1999,Lučenec,Slovensko,,,,ZOH,2022,Peking,Čína
3,ľadový hokej,Samuel,Kňažko,7/8/2002,Trenčín,Slovensko,,,,ZOH,2022,Peking,Čína
3,ľadový hokej,Branislav,Konrád,10/10/1987,Nitra,Slovensko,,,,ZOH,2022,Peking,Čína
3,ľadový hokej,Michal,Krištof,11/10/1993,Nitra,Slovensko,,,,ZOH,2022,Peking,Čína
3,ľadový hokej,Martin,Marinčin,18/2/1992,Košice,Slovensko,,,,ZOH,2022,Peking,Čína
3,ľadový hokej,Šimon,Nemec,15/2/2004,Liptovský Mikuláš,Slovensko,,,,ZOH,2022,Peking,Čína
3,ľadový hokej,Kristián,Pospíšil,22/4/1996,Zvolen,Slovensko,,,,ZOH,2022,Peking,Čína
3,ľadový hokej,Pavol,Regenda,7/12/1999,Michalovce,Slovensko,,,,ZOH,2022,Peking,Čína
3,ľadový hokej,Miloš,Roman,13/10/1999,Kysucké Nové Mesto,Slovensko,,,,ZOH,2022,Peking,Čína
3,ľadový hokej,Mislav,Rosandič,26/1/1995,Záhreb,Chorvátsko,,,,ZOH,2022,Peking,Čína
3,ľadový hokej,Patrik,Rybár,9/11/1993,Skalica,Slovensko,,,,ZOH,2022,Peking,Čína
3,ľadový hokej,Juraj,Slafkovský,30/3/2004,Košice,Slovensko,,,,ZOH,2022,Peking,Čína
3,ľadový hokej,Samuel,Takáč,3/12/1991,Prievidza,Slovensko,,,,ZOH,2022,Peking,Čína
3,ľadový hokej,Matej,Tomek,24/5/1997,Bratislava,Slovensko,,,,ZOH,2022,Peking,Čína
3,ľadový hokej,Peter,Zuzin,4/9/1990,Zvolen,Slovensko,,,,ZOH,2022,Peking,Čína
3,vodný slalom - C1,Matej,Beňuš,2/11/1987,Bratislava,Slovensko,,,,LOH,2024,Paríž,Francúzsko
